,,Deutsch,English,Español,Français,Italiano,Türkçe
,Settings,Einstellungen,Settings,Ajustes,Réglages,Impostazioni,Ayarlar
,Shop,Markt,Market,Mercado,Marché,Mercato,Market
,Stages,Stufen,Stages,Etapas,Étapes,Fasi,Seviyeler
,Victory,Level abgeschlossen,Level Completed,Nivel completado,Niveau terminé,Livello completato,Seviye Tamamlandı
,Defeat,Christus nein!,Christ no!,¡Cristo no!,Christ non!,Cristo no!,Hay Aksi!
,Play,Spielen,Play,Tocar,Jouer,Giocare a,Oyna
,Pause,Blättern,Paused,Detenido,Interrompu,In pausa,Duraklatıldı
,PlayService,Service spielen,Play Service,Servicio de juego,Faire un service,Servizio di gioco,Play Servis
,PrivacyPolicy,Datenschutz-Bestimmungen,Privacy Policy,Política de privacidad,Politique de confidentialité,politica sulla riservatezza,Gizlilik Politikası
,Languages,Sprachen,Languages,Lengua,Langues,Le lingue,Diller
,Credits,Credits,Credits,Créditos,Crédits,Crediti,Krediler
,Free,Frei,Free,Libre,Libre,Gratuito,Ücretsiz
,Go,Gehen!,Go!,¡Vamos!,Aller!,Andare!,Gİt!
,Update,Aktualisieren,Update,Actualizar,Mise à jour,Aggiornare,Güncelle
,Okay,OK!,OK!,¡OK!,D'ACCORD!,OK!,Tamam!
,Gold,Gold,Gold,Oro,Or,Oro,Altın
,Golds,Gold,Golds,De oro,Or,Ori,Altınlar
,Diamond,Diamant,Diamond,Diamante,diamant,Diamante,Elmas
,Diamonds,Diamanten,Diamonds,Diamantes,Diamants,Diamanti,Elmaslar
,Offers,Bietet an,Offers,Oferta,Des offres,Offerte,Teklifler
,Premium,Prämie,Premium,De primera calidad,Prime,Premium,Premium
,Costumes,Kostüme,Costumes,Disfraces,Costumes,Costumi,Kostümler
,PurchaseProcess,Der Kauf schlug fehl.,The purchase failed.,La compra falló.,L'achat a échoué.,L'acquisto non è riuscito.,Satın alma başarısız oldu.
,StageUpProcess,Du hast dein Abenteuerschloss geöffnet!,You opened your adventure lock!,¡Abriste tu bloqueo de aventuras!,Vous avez ouvert votre serrure d'aventure!,Hai aperto la tua serratura dell'avventura!,Macera kilidini açtın!
,Waiting,Warten Sie mal...,Please wait...,Espere por favor...,S'il vous plaît attendez...,Attendere prego...,Lütfen bekleyin...
,ConnectedError,Bei der Verbindung gab es einen Fehler. Bitte retoconnect.,There was an error when connecting. Please re -connect.,Hubo un error al conectarse. Por favor re -concede.,Il y a eu une erreur lors de la connexion. S'il vous plaît re -connect.,Si è verificato un errore durante la connessione. Si prega di ri -Connect.,Bağlanırken bir hata oluştu. Lütfen yeniden bağlanın.
,Disconnect,Sie haben keine Internetverbindung!,You have no internet connection!,¡No tienes conexión a Internet!,Vous n'avez pas de connexion Internet!,Non hai connessione Internet!,İnternet bağlantınız yok!
,AppUpdate,Neues Update ist verfügbar. Bitte aktualisieren Sie die Anwendung.,New update is available. Please update the application.,Una nueva actualización está disponible. Actualice la aplicación.,Une nouvelle mise à jour est disponible. Veuillez mettre à jour l'application.,È disponibile un nuovo aggiornamento. Si prega di aggiornare l'applicazione.,Yeni güncelleme mevcut. Lütfen uygulamayı güncelleyin.
,ShopOrientation,Ihr Gleichgewicht reicht nicht aus. Wir wollen in den Laden gehen?,Your balance is not enough. We want to go to the store?,Tu equilibrio no es suficiente. ¿Queremos ir a la tienda?,Votre équilibre ne suffit pas. Nous voulons aller au magasin?,Il tuo equilibrio non è sufficiente. Vogliamo andare al negozio?,Bakiyeniz yeterli değil. Mağazaya gitmek istiyor musnuz?
,StageLockOrientation,Öffnen Sie zuerst das Schloss des vorherigen Abenteuers!,First open the lock of the previous adventure!,¡Primero abra el bloqueo de la aventura anterior!,Ouvrez d'abord la serrure de l'aventure précédente!,Prima apri il blocco dell'avventura precedente!,İlk olarak önceki maceranın kilidini aç!
,StageLock,Das Adventure Lock wird geöffnet wenn eine ausreichende Anzahl von Schlüssel erreicht ist.,Adventure lock will be opened when a sufficient number of keys are reached.,El bloqueo de aventuras se abrirá cuando se alcance un número suficiente de llaves.,Le verrouillage de l'aventure sera ouvert lorsqu'un nombre suffisant de clés seront atteints.,L'avventura verrà aperto quando verrà raggiunto un numero sufficiente di chiavi.,Yeterli anahtar sayısına ulaşıldğında macera kilidi açılacak.
